	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26	2020-04-27	2020-04-28	2020-04-29	2020-04-30	2020-05-01	2020-05-02	2020-05-03	2020-05-04	2020-05-05	2020-05-06	2020-05-07	2020-05-08
China	0.0398857580890444	0.04009737050217477	0.04009737050217477	0.040115108624501336	0.04023243763416981	0.04032407236136288	0.04032407236136288	0.04037156127188282	0.040397448841389835	0.040472092451438416	0.040472092451438416	0.04048209941764749	0.040521126241726935	0.04055480544985885	0.040543192914448335	0.04061112882262058	0.040667246810231775	0.040700808625336926	0.040740332439152864	0.0407621006746746	0.04076712194644344	0.040751162221678496	0.04074472506784675	0.0407378000366457	0.040729119611266434	0.04074286481275853	0.04069370643006874	0.04066455696202532	0.04062055465719948	0.040610000607570335	0.0405873137319197	0.05601509214918009	0.055996808472056	0.0559859793316009	0.05597786022453986	0.05597041977814834	0.055950137701116114	0.055943380274885865	0.05593932660257959	0.055931221020092736	0.05592379296606178	0.055933840395991793	0.055929788980636434	0.05591493881097782	0.05591223962733219	0.05590414363974226	0.05590346907993967	0.05590212000917021	0.055900096525096525	0.055899422062957733	0.05589807318750528	0.05589672437714906	0.05589604999638057
Italy	0.07944518504411859	0.08338700193206955	0.08297794565614719	0.08574892069500861	0.0900556198439658	0.09259697656329263	0.09506155458569933	0.09858910604834048	0.10086575430860646	0.10193698891908323	0.1055978172905732	0.10838956657150273	0.1103399563922243	0.11392877854116908	0.11747580157289775	0.11897010147050845	0.12074590860970827	0.1225182972118137	0.12325887412542524	0.12320470267084405	0.12465766860057187	0.12631835145221484	0.12673035819311154	0.12726804339047249	0.12772315469212686	0.12785100248898346	0.12726156443659944	0.12829434037964846	0.12965265127270936	0.1310587024310496	0.1312292457130004	0.1319055406706334	0.13202785277817253	0.13219945019332632	0.13305890921932592	0.13398783411340695	0.1339102211640607	0.13448753243882025	0.13455858731359524	0.13505945707982042	0.13478689768559504	0.13528137442707133	0.13577330587330338	0.13596868230913942	0.13611696509833887	0.13612434194033593	0.1371531758770924	0.1370748444596307	0.13720522039464372	0.13762070859525005	0.13841469385471214	0.13878568318060944	0.1390565646798812
Iran	0.06110458284371328	0.06975607105992286	0.06975607105992286	0.07294848299735288	0.0754973313925279	0.0778722617617155	0.07861512430040349	0.0779492966829229	0.07687752156049894	0.07597089029449773	0.0735494247185451	0.07108563036601898	0.06891331018820643	0.06644173996867092	0.06497029480999889	0.06379089361880949	0.06261393358167552	0.06193708515879135	0.061927058105950526	0.061879572699481335	0.06180165289256196	0.06186390579814344	0.061824544018827615	0.062065841135608577	0.06206006569685594	0.06221708149480928	0.06241107050191112	0.06254859964803622	0.06254256981449577	0.06253518176700834	0.062427078658888385	0.062369487005308574	0.062212494435376166	0.06225444283611682	0.0623794982336387	0.06246314945402232	0.06268896227731523	0.06298117803874705	0.0632015783386625	0.06325004477879276	0.06310717167140062	0.06347297533671506	0.063477490711138	0.06360442892682874	0.06369399830938292	0.06368274679547498	0.0638271400132714	0.06367014288060438	0.06363092643466096	0.06341902570771231	0.06313821938022626	0.06288844718087944	0.06247910517618516
S. Korea	0.009735576923076923	0.010624635143023937	0.010624635143023937	0.010864539990753585	0.011689333483196585	0.012387010378305993	0.012387010378305993	0.01327874294566781	0.013790084272737223	0.014894984997856837	0.014894984997856837	0.01519307870858831	0.015861421266826672	0.016354414656867818	0.016554261189454314	0.01668858096490341	0.016940657578187652	0.0172927847346452	0.017428121307601418	0.017876330956334858	0.01808634772462077	0.018584841738457068	0.01926040061633282	0.01957210016310084	0.019904306220095692	0.02013358778625954	0.020357686453576863	0.020594096991553568	0.02101476713366149	0.0212444528373147	0.021577310845189858	0.021626704278326282	0.02177790293813949	0.021949160491511115	0.022109799512834927	0.02218477955630441	0.02225547035720965	0.02242571481965988	0.02241314904744117	0.02239223735771599	0.02255779269202088	0.022629912460420936	0.02269345238095238	0.022860328965709508	0.0229447282861124	0.02301837757564508	0.023191094619666047	0.02316316130825535	0.023331173039533373	0.023509811181044057	0.02359800111049417	0.02368177613320999	0.023655516540380707
Spain	0.04507018433959073	0.04473085670962852	0.0459700171488632	0.05109739368998628	0.05416535927204268	0.06159621802002225	0.06669890295868718	0.07057163020465773	0.0723572283715948	0.07553732738033432	0.07702274465726908	0.08044513342929907	0.0838335511871978	0.08615529080345091	0.0875795672389506	0.08863671966789377	0.09158366443513126	0.09289779967717272	0.09415084658799384	0.09496860636743934	0.09752503110373838	0.09890328871049242	0.10002726838911992	0.0999567059811343	0.10168541829828147	0.10103674962311247	0.10222926291569036	0.103182375985274	0.10464759100735477	0.10459205215247168	0.10464073166462454	0.10427288628497604	0.1045398120234084	0.1043818642060997	0.1041506418260826	0.10423258137507467	0.10421375408490853	0.10401175454408892	0.10249176389217524	0.10235119034318173	0.1023258276743047	0.1025228618005248	0.1026244141163496	0.10246982891443188	0.10241655156297598	0.10216142360939637	0.10221243082335983	0.1022329052047167	0.10240796452692498	0.10222261245764504	0.10192682176898638	0.10149695353409513	0.10110450297366186
Germany	0.002775701932315576	0.0023694871206909733	0.0028720626631853785	0.0028200489517931256	0.00375603648721159	0.0037791983275037187	0.0040611233480176215	0.004759594979688353	0.005519384829729657	0.005943567832818647	0.006736019769620153	0.007452985527342058	0.007946059117360986	0.008759717811947629	0.01000293341155764	0.011209239130434782	0.012912397085825979	0.013735835615218505	0.01443298969072165	0.015735664839342158	0.01636503278914512	0.018453721453963408	0.01980162243220293	0.02121655427923444	0.021793285628302014	0.02208624614540112	0.02320340999519386	0.023734868338949208	0.02494472821529313	0.02696514499771037	0.02863599891050698	0.030208288412609426	0.03097877820706647	0.03149453623810645	0.032145247885900084	0.0334270118359185	0.034793117492705534	0.0354782861523009	0.03666993169390045	0.037353481146730684	0.0375254582484725	0.03805629120236643	0.03879074849754143	0.039616510193049716	0.04020404260962356	0.04068173352304301	0.04095380537214704	0.04135854350205282	0.0415776965485626	0.04199470337074603	0.04290616142025958	0.0436286371953019	0.04376476950750673
France	0.022639068564036226	0.028902999781037882	0.03383356070941337	0.03383356070941337	0.0388685247942458	0.04207766262954177	0.04331184528605963	0.04931850789096126	0.052748385051321685	0.058171840164637285	0.06052056789224609	0.061583499667332	0.06486782496141784	0.06787878787878789	0.06758364027010436	0.07075049570969838	0.07618644784705186	0.10113774130373962	0.08404388958678423	0.08404388958678423	0.09091929394959697	0.09469235071376833	0.09622841965471447	0.10369514815412444	0.10568675972419096	0.1066839434186373	0.10855186249443778	0.10942469238698924	0.10976043767401936	0.11610071485090928	0.1085882916128876	0.1262494171076374	0.12729836026694247	0.12923226153180667	0.13041967267976548	0.1315786143625435	0.13347761091338967	0.13530613508326628	0.13918086943464225	0.14003517289210346	0.14099938309685378	0.14045296125227627	0.14045296125227627	0.1426065782256752	0.14647277971397668	0.14696497077910434	0.1470343713627402	0.14757577374283462	0.1487118055965349	0.14969715803484002	0.14816494537605274	0.14867470293092894	0.14896722493880588
USA	0.016490354698195396	0.016377852916314453	0.013905592303066748	0.01358316657570796	0.012940651494868362	0.013074700311847338	0.01218104281035742	0.012924925832845184	0.013928097948997895	0.015196467784889969	0.01535431890200626	0.016620822847779014	0.017582466108306227	0.018316420958580642	0.0197982547877138	0.022208302214084367	0.023860362650398242	0.025548390973377542	0.027138398193651214	0.028592106737405032	0.029432064958166623	0.031752231709809176	0.034022820446661516	0.035579211562594665	0.03683068992700849	0.03845535304028182	0.039347685937656064	0.03996634558787887	0.041748412582684885	0.04426048671303556	0.05078553324585213	0.05204081632653061	0.05251183246303343	0.05302329637341846	0.053208898601644655	0.05466854051958413	0.05566645636982706	0.05642598882436727	0.05640325679503672	0.056316495618148235	0.05629250307251127	0.05620552442418071	0.056601761774099674	0.057783694211434575	0.058039063151168274	0.05833649979204676	0.05816939341140453	0.057875845347469014	0.057549148535947926	0.05813939257959901	0.05891087093444582	0.05956043956043956	0.059536101103633506
Switzerland	0.009846827133479213	0.010755900806692559	0.010404064843939027	0.010430247718383313	0.011656709893632522	0.013112122023013113	0.013806013806013808	0.01235192872329655	0.0140405616224649	0.0164253661840657	0.017868193069306933	0.018755328218243817	0.020230629172567263	0.022081218274111674	0.024403805758062527	0.0269008577930793	0.028469750889679717	0.03014383352035092	0.031610612486438504	0.03388625592417062	0.03519305375946795	0.03689390194580506	0.0384979353062629	0.03942443649671463	0.040813001507066925	0.04126339267933245	0.04353131026882355	0.04430084085954531	0.0452652683528686	0.0470458687727825	0.04792009576537483	0.048932712903464064	0.049919719748941764	0.050216294160057684	0.051137990266246776	0.05266721305633753	0.053381915947360976	0.0543585064570466	0.05502667643058897	0.05534020903993909	0.0554007088537903	0.05623371279659855	0.05805768179332969	0.05835345325942803	0.05871020077063476	0.05904729843460696	0.05902672971794614	0.05891991305801705	0.05950435275674594	0.05981538871671833	0.06004657351962741	0.06008099316205271	0.05991988611911146
Norway	0.0020408163265306124	0.0035481963335304554	0.003910614525139665	0.003657262277951933	0.003230272265805261	0.0029350104821802936	0.003926187671770711	0.004318100035984167	0.0045662100456621	0.004143237644273453	0.005111649179445789	0.005498625343664084	0.005865790708587518	0.007199100112485939	0.008423326133909288	0.009113504556752278	0.009744689144416294	0.0111404833836858	0.011171171171171172	0.012484614032002812	0.013187575915321879	0.015077079451126546	0.016595465001643116	0.01752677702044791	0.01794220387424579	0.018414481897627958	0.019429452582883568	0.02045489238284232	0.020987467914842208	0.02225519287833828	0.02219626168224299	0.023208879919273458	0.023308698123934053	0.02331166996326646	0.025396379963519008	0.025309414545960227	0.02570446735395189	0.026219263686999048	0.026732939279957013	0.02682503670092086	0.02676075089868193	0.02713794016415144	0.02703766898543116	0.026953125	0.027138795554406826	0.027027027027027032	0.02691962568901423	0.0269373164815524	0.027143581938102485	0.02711907164480323	0.027081243731193583	0.027074235807860263	0.02706393544382371
UK	0.03641025641025642	0.04112718964204113	0.04405016824717039	0.056286326093606606	0.046432841769629335	0.04944571529121943	0.05037593984962406	0.05224712145598613	0.052637947725072604	0.04957968776805627	0.052190057072130924	0.05962900111182633	0.06290339104599939	0.06359243033286663	0.07113320079522863	0.07979914500916062	0.08663028649386084	0.0944508488786418	0.10292819129895234	0.10320880224239637	0.10411176561773368	0.11149125665254696	0.11685574564075545	0.12259323570539515	0.12145123240868788	0.12501424212885012	0.12591511527189453	0.12783651730402498	0.12897212190938825	0.13067143263333195	0.1331710203408573	0.13410370588451773	0.13539140408170414	0.13375865141962404	0.13234409946850725	0.1343495241932984	0.13558560245702087	0.13570590535784122	0.13596442313054147	0.13694170929456725	0.1356451190787752	0.13421657153402186	0.13452480685097273	0.15795207630991218	0.15632426877193392	0.15502609126872316	0.1543454405793921	0.15244454686252334	0.15076816521848635	0.15091543156059284	0.14955669041924208	0.14810245990856974	0.1478066274294582
Netherlands	0.02521994134897361	0.028278888347147733	0.030894308943089432	0.035404141616566465	0.03745524648857064	0.04257849666983825	0.04485154769425142	0.04964028776978417	0.05552089831565814	0.058403983313147625	0.06346623270951994	0.0654578979717271	0.07095527332965212	0.07353191489361703	0.08249305279872965	0.0	0.0	0.0	0.09929632525410476	0.09893003193098426	0.09929266606392596	0.10730337078651686	0.1093970509513845	0.11010017461630364	0.10871541758669956	0.10826199156187276	0.1069683823816782	0.10632367895747806	0.1074072723294066	0.11132028558235356	0.11347299240090368	0.11359978981247333	0.11399537813795944	0.11281580156178228	0.112288579553959	0.11472432179059006	0.11635382584237415	0.11690783397240335	0.11739427945805392	0.11855337456305458	0.1182454749636676	0.118133089292718	0.11885672636401501	0.1214112674604402	0.12196052497710855	0.12296750521474704	0.12394373198131027	0.1246210347292401	0.1246504782928624	0.12578187747949476	0.1259469009414555	0.1265859146837746	0.12731333000736464
Sweden	0.006688963210702341	0.0075131480090157785	0.0076441973592772765	0.009762050030506406	0.011299435028248588	0.010858324715615306	0.012218963831867055	0.015748031496062992	0.01741884402216944	0.027112676056338027	0.030203545633617858	0.030461270670147964	0.02972972972972973	0.03624627606752731	0.040586245772266064	0.04831210834849404	0.05159165751920966	0.058391779481324416	0.05789228620207978	0.05871156661786237	0.06619483763530391	0.076823085922267	0.08160114027794275	0.08675199649928891	0.08982963345379452	0.08738055364003547	0.0857578937327101	0.08394227256119839	0.09025775447793796	0.10086358681982058	0.10629984051036682	0.1059322033898305	0.10931847778903198	0.1070559610705596	0.10692292075522772	0.1151938389244224	0.12103224193951513	0.12062071023575052	0.12250241930893152	0.12059195686857015	0.1177038626609442	0.12015217161576668	0.12002446358493453	0.1212688405083243	0.12260572728996776	0.1232806691449814	0.12086767502943575	0.12004301653448045	0.1218696360195414	0.12293246037215713	0.12296178610251693	0.12346180400438615	0.12566792004749652
Belgium	0.008045052292839904	0.0116991643454039	0.0116991643454039	0.016393442622950817	0.023801065719360567	0.022052337547780063	0.02351055303232701	0.02857812133989225	0.036054283978124366	0.03528468323977546	0.039676002196595284	0.0386468141011605	0.03977482465854559	0.043112866627447684	0.055185909980430534	0.0592953308507591	0.06587177482408131	0.06815742397137746	0.06961098149856221	0.07348534863643287	0.07840876333237244	0.0916914481391367	0.0957142246720506	0.10098867229716207	0.11321108486143926	0.11942322792490542	0.12142881235875468	0.12759488705090066	0.1335839840611845	0.13224912876418551	0.1395328794277342	0.14286900215839282	0.14665304036791008	0.14762572734829593	0.14576194882825194	0.1464498486180291	0.14949031965432452	0.15164614342126784	0.1507913214277651	0.15260893546607832	0.15376945419863874	0.1543684537451539	0.15487810030844634	0.15673123132535155	0.15651600403965454	0.15710148474465654	0.15681483127006887	0.15717548992105154	0.15763821194819666	0.15870438931675546	0.1642149622890451	0.16365227537922988	0.1638307281152064
Denmark	0.004094165813715456	0.00530035335689046	0.0052128583840139004	0.007171314741035857	0.00980392156862745	0.00931899641577061	0.016551724137931042	0.02011313639220616	0.019721577726218097	0.021843367075119868	0.02541544477028348	0.029532030895047707	0.030062630480167014	0.029879705083430345	0.03146853146853147	0.03347280334728033	0.03632604843473125	0.03699760447165292	0.039489820946774584	0.040970473792629886	0.039948728904080334	0.04003155196213765	0.04035542391706775	0.042058562555456966	0.04244715586870596	0.04336224149432955	0.04421768707482993	0.045109211775878434	0.04592228536323145	0.046250561293219576	0.04666375926733537	0.04750459493849851	0.047776857221761934	0.04807692307692308	0.04843646041250832	0.04808317089018843	0.04853387259858443	0.048804657500309684	0.049086479902557864	0.04949674363528715	0.04921282798833819	0.04909174522878823	0.04903400745678455	0.04917850799289522	0.04935575453155711	0.04940393083449683	0.050494312745827566	0.05082432006720571	0.05098241985522234	0.05121678036859791	0.050915677198631513	0.05097689179807597	0.05108631826189078
Japan	0.03302961275626424	0.034669555796316365	0.03499469777306469	0.03426791277258567	0.03415559772296015	0.03723887375113533	0.03723404255319149	0.03604358759430008	0.03442999234889059	0.033886085075702954	0.033886085075702954	0.03268845897264843	0.028938906752411574	0.028938906752411574	0.028673835125448032	0.026170798898071626	0.023909395973154363	0.02407336645013374	0.02350936967632028	0.02453010512902198	0.023262178434592228	0.023553507424475168	0.021846370683579985	0.020141418470109286	0.01790235081374322	0.016486261448792672	0.016004742145820983	0.016689280868385347	0.01870503597122302	0.018024691358024692	0.02063528866218409	0.02058281876286426	0.019413507714314902	0.02185792349726776	0.02185792349726776	0.023619218679838343	0.024409312022237662	0.02502092050209205	0.02652005174644243	0.026892197365344143	0.02720882775300431	0.02767651216427349	0.028279712061113564	0.028683750728013976	0.030433225921947724	0.03052243043725156	0.031807060468367704	0.03253036854025118	0.03273509444108355	0.03554848123093248	0.03645184553858257	0.03728112683336564	0.037881219903691817
Malaysia	0.0029717682020802376	0.0022222222222222227	0.0022222222222222227	0.002912621359223301	0.007607776838546069	0.007656967840735069	0.00922266139657444	0.009852216748768471	0.0111358574610245	0.011816838995568686	0.012031466913465988	0.01163793103448276	0.01417004048582996	0.014089870525514091	0.015545914678235719	0.015474552957359009	0.016046213093709884	0.0159015901590159	0.01636520241171404	0.016657564172583288	0.01634590034273662	0.015897047691143074	0.01578052925467346	0.015846736045411543	0.016106764841233318	0.016114790286975718	0.016228913089899637	0.015985052937512977	0.01644275115299779	0.016364353312302838	0.016209957545349287	0.016377832793753568	0.016588124410933082	0.016515123399517537	0.01640552995391705	0.016782196278730392	0.016811279826464208	0.01695520257005176	0.01686874011597259	0.017067223963775687	0.016955017301038062	0.017010309278350514	0.017091095539224062	0.01682085786375105	0.016994335221592802	0.01696590347553945	0.016677461139896373	0.01667195935217529	0.016527624744215333	0.016606611311295632	0.016645924082140634	0.01654553888974795	0.01637337413925019
Qatar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001694915254237288	0.0015772870662460567	0.001443001443001443	0.002560819462227913	0.0023952095808383233	0.0031612223393045306	0.002790697674418605	0.0022641509433962265	0.002493765586034913	0.002183406113537118	0.002916869227029655	0.0027149321266968325	0.002525252525252525	0.0023885350318471337	0.0021994134897360697	0.0023497818059751594	0.002166511915815537	0.002042007001166861	0.001886284020479655	0.0017060687301974165	0.0015011794981771394	0.001597444089456869	0.0014684287812041115	0.0014962593516209474	0.0013776213072095515	0.0014003640946646126	0.001287995878413189	0.0011730205278592375	0.0010686044026501386	0.000972100709633518	0.0008893632159373886	0.0008388558006878617	0.000795924864692773	0.0007457677679170706	0.000851305334846765	0.0008068854222700376	0.0007716545559771075	0.0007411524921252547	0.0007000350017500875	0.0006677053193857111	0.0006352567496029645	0.000594029998514925
Australia	0.011061946902654869	0.008462623413258109	0.008462623413258109	0.007990867579908675	0.005443234836702955	0.004297114794352364	0.004076878276062901	0.00373134328358209	0.003702180172768408	0.00410612760581175	0.0040880503144654105	0.0038514442916093533	0.004020100502512563	0.004240282685512367	0.0041657531243148435	0.0043174342105263145	0.005253940455341506	0.005233644859813084	0.0054054054054054074	0.006154387198874629	0.007075064710957722	0.008109477952356817	0.008315316813570598	0.008355176933158584	0.008544252780912462	0.008884658099317785	0.009345794392523364	0.00959270325522881	0.00953125	0.009771986970684038	0.00974025974025974	0.0099601593625498	0.010510281797410507	0.01073805202661827	0.010726695875509895	0.010684725357411587	0.011129493156865695	0.011259570635039785	0.011835205992509364	0.01194921583271098	0.012367754433020416	0.012351190476190477	0.012479572128955578	0.013193003261191818	0.01347549237375981	0.01374316536131225	0.013710747456877488	0.013968534039111895	0.01391941391941392	0.01401664476565922	0.01410909090909091	0.014066125290023202	0.014029505351460804
Canada	0.014234875444839857	0.012379642365887207	0.012484394506866416	0.012987012987012988	0.01430722891566265	0.013605442176870748	0.011224987798926306	0.009652509652509652	0.00911854103343465	0.00964630225080386	0.011496746203904557	0.00991705733862243	0.010067114093959731	0.00918185555707825	0.011220030707452462	0.011381599747075559	0.012063377745768815	0.014383838383838384	0.01645021645021645	0.01796834457706279	0.01945690386713541	0.021020179372197308	0.02226393451170551	0.024344297927836545	0.02521999455683571	0.027937055399870663	0.02935122674131401	0.030017219787100813	0.0333866230434621	0.0356674348519766	0.03979417955828795	0.0414006699955755	0.04418324291742013	0.045471519260046535	0.045814016907553864	0.04792566418008114	0.04939078005275719	0.051231126319063916	0.05267387660444077	0.05469166518571175	0.0548838007031987	0.0560036492566713	0.05646411092985317	0.0582459838769495	0.059985286627808276	0.061824620327102814	0.06291975963237892	0.0619135064103644	0.06338260525273855	0.06513985054632902	0.06663510848126232	0.0679262743888332	0.06887035724518571
Portugal	0.002232142857142857	0.003821656050955414	0.005095541401273885	0.005882352941176471	0.009375	0.00875	0.01116504854368932	0.01397121083827265	0.014357262103505844	0.016930022573363433	0.01780693533270853	0.019342359767891684	0.019959745051995968	0.02184769038701623	0.02149670831653903	0.022663919524906068	0.023134823998228908	0.024883673882257738	0.02527556062333713	0.02615712005674765	0.02651321398124468	0.027728660986979584	0.028917129594399214	0.02930639151619375	0.0281153050672182	0.02939888659535873	0.030388905637624364	0.03159324436045825	0.03249656121045392	0.03311038637996794	0.033384639881110345	0.034538954894332875	0.0348996697993396	0.03533603880035633	0.035229832718209265	0.035642452874315916	0.035711036302429264	0.03668411398917371	0.03746106943896127	0.03761969904240766	0.03783942339926249	0.03862321554917385	0.03897705780774608	0.0397061824117527	0.03948891994410062	0.0397222989231194	0.040611353711790386	0.04125464757535005	0.041647077260617456	0.04178663139055326	0.04159346115651975	0.0413625304136253	0.04085374798298372
Finland	0.0	0.0	0.0	0.0	0.0019120458891013386	0.001597444089456869	0.0014285714285714286	0.0012626262626262627	0.003409090909090909	0.005219206680584551	0.0067243035542747355	0.007712082262210797	0.008870967741935484	0.009615384615384616	0.011988716502115656	0.011756569847856157	0.012516469038208168	0.01238390092879257	0.013283740701381507	0.014530358069538145	0.012408088235294115	0.014731369150779897	0.016083634901487738	0.016122840690978888	0.017334777898158182	0.016867469879518072	0.01882985877605918	0.019255874673629242	0.02024675735526732	0.022242817423540315	0.02226179875333927	0.0235024362281456	0.02444987775061125	0.024848004229447527	0.025336091003102367	0.035127055306427506	0.03608621942358925	0.04014939309056957	0.040273037542662114	0.04156424581005587	0.041520979020979024	0.04110756123535676	0.0419831223628692	0.04198940073379536	0.04224224224224224	0.04315977034250643	0.04250386398763524	0.04377617053673392	0.04505350103247607	0.045454545454545456	0.04521801543154495	0.0449497620306716	0.04531195538515162
